Protein	Des
A0A0E1EET6	Genome Annotation
A0A0E1EL42	Genome Annotation
A0A0E1EN14	Genome Annotation
A0A0E1R974	Genome Annotation
A0A0E1Y3Q6	Genome Annotation
A0A0E2CSW4	Genome Annotation
A0A0E2D3A7	Genome Annotation
A0A0E3CNN1	Genome Annotation
A0A0E3CRJ7	Genome Annotation
A0A0F0JYS2	Genome Annotation
A0A0F6P9K5	
A0A0G2PF30	Genome Annotation
A0A0G2Q9D4	Genome Annotation
A0A0G2Q9D8	Genome Annotation
A0A0G2Q9E8	Genome Annotation
A0A0G2Q9E9	Genome Annotation
A0A0G2Q9F8	Genome Annotation
A0A0G2Q9F9	Genome Annotation
A0A0G2Q9G0	Genome Annotation
A0A0G2Q9H1	Genome Annotation
A0A0G2Q9H2	Genome Annotation
A0A0G2Q9I7	Genome Annotation
A0A0G2Q9K0	Genome Annotation
A0A0G2Q9L2	Genome Annotation
A0A0G2Q9N7	Genome Annotation
A0A0G2Q9N9	Genome Annotation
A0A0H0YCP0	Genome Annotation
A0A0H0YG72	Genome Annotation
A0A0H0YGD0	Genome Annotation
A0A0H1NRE3	Genome Annotation
A0A0H1XJQ7	Genome Annotation
A0A0H2UQ40	Genome Annotation
A0A0H2USC0	Genome Annotation
A0A0H2USF2	Genome Annotation
A0A0H2USF3	Genome Annotation
A0A0H2USG1	Genome Annotation
A0A0H2USH9	Genome Annotation
A0A0H2USM2	Genome Annotation
A0A0H2USP0	Genome Annotation
A0A0H2USP5	Genome Annotation
A0A0H2USS8	Genome Annotation
A0A0H2UWW5	
A0A0H2UWZ6	
A0A0H2UX03	Genome Annotation
A0A0H2UX23	Genome Annotation
A0A0H2UX29	
A0A0H2UX95	
A0A0H2UXE8	
A0A0H2UXR4	
A0A0H2UXU2	
A0A0H2UXV0	
A0A0H2UXW2	
A0A0H2UY03	Genome Annotation
A0A0H2UY50	Genome Annotation
A0A0H2UY62	
A0A0H2UY65	
A0A0H2UY89	
A0A0H2UY99	Genome Annotation
A0A0H2UYA8	Genome Annotation
A0A0H2UYC2	
A0A0H2UYC3	Genome Annotation
A0A0H2UYD2	Genome Annotation
A0A0H2UYJ4	Genome Annotation
A0A0H2UYP6	
A0A0H2UYV7	Genome Annotation
A0A0H2UYY2	
A0A0H2UYY3	Genome Annotation
A0A0H2UYY9	Genome Annotation
A0A0H2UZ04	Genome Annotation
A0A0H2UZ60	
A0A0H2UZ75	Genome Annotation
A0A0H2UZI2	Genome Annotation
A0A0H2UZL0	
A0A0H2UZM7	Genome Annotation
A0A0H2UZP6	Genome Annotation
A0A0H2UZP8	
A0A0H2UZQ6	
A0A0H2UZT5	
A0A0H2UZX5	Genome Annotation
A0A0H2UZZ8	
A0A0H2V013	Genome Annotation
A0A0H2V042	Genome Annotation
A0A0H2V062	
A0A0H2V075	Genome Annotation
A0A0H2V0B5	Genome Annotation
A0A0H2V0C3	
A0A0H2V0C8	Genome Annotation
A0A0H2V0D7	Genome Annotation
A0A0H2V0E5	Genome Annotation
A0A0H2V0F8	Genome Annotation
A0A0H2V0J1	Genome Annotation
A0A0H2V0L8	
A0A0H2V0M8	Genome Annotation
A0A0H2V0Q5	Genome Annotation
A0A0H2V0R7	Genome Annotation
A0A0H2V0T8	
A0A0H2V0W2	Genome Annotation
A0A0H2V0Y6	
A0A0H2V0Z7	
A0A0H2V104	
A0A0H2V107	Genome Annotation
A0A0H2V132	Genome Annotation
A0A0H2V137	Genome Annotation
A0A0H2V170	Genome Annotation
A0A0H2V179	Genome Annotation
A0A0H2V1A9	
A0A0H2V1B5	Genome Annotation
A0A0H2V1E3	Genome Annotation
A0A0H2V1J2	Genome Annotation
A0A0H2V1J5	Genome Annotation
A0A0H2V1M4	Genome Annotation
A0A0H2V1N8	
A0A0H2V1P4	Genome Annotation
A0A0H2V1Q4	Genome Annotation
A0A0H2V1U5	
A0A0H2V1V4	Genome Annotation
A0A0H2V1V9	
A0A0H2V1Z0	
A0A0H2V203	
A0A0H2V252	Genome Annotation
A0A0H2V292	Genome Annotation
A0A0H2V2A5	Genome Annotation
A0A0H2V2A8	
A0A0H2V2B5	
A0A0H2V2L0	Genome Annotation
A0A0H2V2S3	
A0A0H2V2U9	Genome Annotation
A0A0H2V2V7	
A0A0H2V2Y1	
A0A0H2V2Y7	Genome Annotation
A0A0H2V2Z3	Genome Annotation
A0A0H2V371	Genome Annotation
A0A0H2V3A5	
A0A0H2V3C6	
A0A0H2V3I9	Genome Annotation
A0A0H2V3M4	
A0A0H2V3M9	
A0A0H2V3N4	Genome Annotation
A0A0H2V3P9	Genome Annotation
A0A0H2V3Q5	Genome Annotation
A0A0H2V3S2	
A0A0H2V3S3	
A0A0H2V3V0	
A0A0H2V407	Genome Annotation
A0A0H2V442	
A0A0H2V488	
A0A0H2V555	
A0A0H2V5C4	
A0A0H2V5L0	Genome Annotation
A0A0H2VSM9	
A0A0H2VSS8	Genome Annotation
A0A0H2VT45	Genome Annotation
A0A0H2VT54	
A0A0H2VT81	Genome Annotation
A0A0H2VTA6	
A0A0H2VTF9	
A0A0H2VTI8	
A0A0H2VTK0	
A0A0H2VTU0	
A0A0H2VTW3	Genome Annotation
A0A0H2VTY7	Genome Annotation
A0A0H2VTZ4	
A0A0H2VUP7	
A0A0H2VUT9	Genome Annotation
A0A0H2VUW9	
A0A0H2VUZ8	
A0A0H2VV08	Genome Annotation
A0A0H2VV29	
A0A0H2VV39	
A0A0H2VV44	
A0A0H2VV48	
A0A0H2VVB7	
A0A0H2VVC0	
A0A0H2VVD2	
A0A0H2VVG5	
A0A0H2VVI1	
A0A0H2VVP2	
A0A0H2VVS9	
A0A0H2VVU1	
A0A0H2VW13	
A0A0H2VW22	
A0A0H2VW26	
A0A0H2VW51	Genome Annotation
A0A0H2VWL1	Genome Annotation
A0A0H2VWM2	Genome Annotation
A0A0H2VX20	
A0A0H2VX23	
A0A0H2VX42	
A0A0H2VX83	
A0A0H2VXB8	
A0A0H2VXH5	
A0A0H2VXM7	
A0A0H2VXW3	
A0A0H2VXW8	
A0A0H2VXY8	Genome Annotation
A0A0H2VXZ9	Genome Annotation
A0A0H2VY02	Genome Annotation
A0A0H2VY20	
A0A0H2VY68	
A0A0H2VYF0	
A0A0H2VYF7	
A0A0H2VYP7	
A0A0H2VYQ8	Genome Annotation
A0A0H2VYU4	
A0A0H2VYX6	Genome Annotation
A0A0H2VZ63	
A0A0H2VZN3	
A0A0H2VZP1	
