Protein	Host.TaxonID..Viral.ClusterID..Interaction.ID
A0A0E0UEW7	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UEX4	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UFF6	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UFH5	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UFJ1	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UFL2	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UG10	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UG46	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UGD4	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UGI2	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UGL8	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UH56	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UHM0	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UHQ8	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UHT8	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UHU9	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UHV7	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UI25	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UI36	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UIH3	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UII0	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UIQ4	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UJ54	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UJ98	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UJC1	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UKM9	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UKN7	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UKP1	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UKY1	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UL81	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0ULB5	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0ULH8	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UN93	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UN97	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UNG4	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UNJ4	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UNP3	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UPG1	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UPL1	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UPR3	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UPR9	698936,,15196,,14706;;698936,,13792,,12565
