Protein	Host.TaxonID..Viral.ClusterID..Interaction.ID
O34981	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
O35004	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
O35019	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
O35033	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
O50147	262724,,26430,,313
O50397	83332,,21733,,28377
O50416	83332,,21733,,28377
O50431	83332,,21733,,28377
O50432	83332,,21733,,28377
O50464	83332,,21733,,28377
O50508	100226,,26411,,3393;;100226,,26409,,3231
O50515	100226,,26411,,3393;;100226,,26409,,3231
O52631	272562,,20191,,24618;;272562,,19747,,23748;;272562,,5669,,4027
O52632	272562,,20191,,24618;;272562,,19747,,23748;;272562,,5669,,4027
O52982	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
O53083	169963,,7474,,5451;;169963,,4649,,3318
O53148	83332,,21733,,28377
O53154	83332,,21733,,28377
O53165	83332,,21733,,28377
O53181	83332,,21733,,28377
O53203	83332,,21733,,28377
O53213	83332,,21733,,28377
O53298	83332,,21733,,28377
O53310	83332,,21733,,28377
O53321	83332,,21733,,28377
O53329	83332,,21733,,28377
O53343	83332,,21733,,28377
O53346	83332,,21733,,28377
O53353	83332,,21733,,28377
O53360	83332,,21733,,28377
O53362	83332,,21733,,28377
O53399	83332,,21733,,28377
O53406	83332,,21733,,28377
O53417	83332,,21733,,28377
O53469	83332,,21733,,28377
O53493	83332,,21733,,28377
O53509	83332,,21733,,28377
O53512	83332,,21733,,28377
O53521	83332,,21733,,28377
O53531	83332,,21733,,28377
O53532	83332,,21733,,28377
O53547	83332,,21733,,28377
O53564	83332,,21733,,28377
O53578	83332,,21733,,28377
O53579	83331,,17872,,19582
O53580	83332,,21733,,28377
O53598	83332,,21733,,28377
O53611	83332,,21733,,28377
O53622	83332,,21733,,28377
O53641	83332,,21733,,28377
O53672	83332,,21733,,28377
O53673	83332,,21733,,28377
O53718	83332,,21733,,28377
O53777	83332,,21733,,28377
O53789	83332,,21733,,28377
O53834	83331,,17872,,19582
O53842	83332,,21733,,28377
O53857	83332,,21733,,28377
O53858	83331,,17872,,19582
O53900	83332,,21733,,28377
O53901	83332,,21733,,28377
O53977	83332,,21733,,28377
O54130	100226,,26411,,3393;;100226,,26409,,3231
O58655	
O65934	83332,,21733,,28377
O68970	
O68973	
O69250	
O69289	
O69637	83332,,21733,,28377
O69654	83332,,21733,,28377
O69659	83332,,21733,,28377
O69670	83332,,21733,,28377
O69684	83331,,17872,,19582
O69690	83332,,21733,,28377
O69695	83332,,21733,,28377
O69722	83332,,21733,,28377
O69850	100226,,26411,,3393;;100226,,26409,,3231
O69879	100226,,26411,,3393;;100226,,26409,,3231
O69896	100226,,26411,,3393;;100226,,26409,,3231
O86312	83332,,21733,,28377
O86320	83332,,21733,,28377
O86340	83332,,21733,,28377
O86351	83332,,21733,,28377
O86365	83332,,21733,,28377
O86517	100226,,26411,,3393;;100226,,26409,,3231
O86525	100226,,26411,,3393;;100226,,26409,,3231
O86560	100226,,26411,,3393;;100226,,26409,,3231
O86575	100226,,26411,,3393;;100226,,26409,,3231
O86637	100226,,26411,,3393;;100226,,26409,,3231
O86716	100226,,26411,,3393;;100226,,26409,,3231
O86757	100226,,26411,,3393;;100226,,26409,,3231
O86775	100226,,26411,,3393;;100226,,26409,,3231
O87527	1314,,17258,,18244;;1314,,17067,,17895;;1314,,15605,,15421;;1314,,15601,,15413;;1314,,14997,,14360;;1314,,14596,,13644;;1314,,12932,,11570;;1314,,12895,,11520;;1314,,12458,,10921;;1314,,12346,,10794
O88017	100226,,26411,,3393;;100226,,26409,,3231
O88038	100226,,26411,,3393;;100226,,26409,,3231
O88060	100226,,26411,,3393;;100226,,26409,,3231
O93774	273057,,26681,,1647;;273057,,26413,,3793
P00350	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00363	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00370	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00448	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00509	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00550	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00562	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00579	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00582	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00634	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00811	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00864	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00909	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00936	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00946	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00954	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00956	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00959	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00961	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P00968	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P02344	
P02359	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P02394	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P02903	573,,26068,,158;;573,,25126,,5584;;573,,25125,,7128;;573,,25124,,157;;573,,21759,,28420;;573,,21175,,26856;;573,,18978,,22059;;573,,18460,,20894;;573,,18098,,20028;;573,,17897,,19594
P02925	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P02931	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P02968	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P02974	485,,15590,,15402;;485,,13757,,12522;;485,,13301,,12012;;485,,11558,,9797;;485,,11300,,9534;;485,,10857,,9119;;485,,9880,,7970;;485,,8666,,6633;;485,,8185,,6153;;485,,7137,,5130
P03018	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P03030	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P03943	
P03944	
P04036	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P04042	99287,,14089,,12955;;99287,,12808,,11375;;99287,,4371,,3111;;99287,,4058,,2841;;99287,,3104,,2096;;99287,,2023,,1300;;99287,,1373,,856
P04079	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P04805	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P04831	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P04832	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P04951	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P04969	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P04990	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P05052	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P05055	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P05429	
P05431	122586,,12407,,10866
P05459	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P05645	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P05651	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P05652	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P05653	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P05654	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P05793	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P06224	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P06533	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P06534	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P06535	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P06612	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P06616	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P06628	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P06959	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P06999	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P07003	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P07012	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P07343	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P07363	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P07515	226185,,13575,,12416;;226185,,11113,,9373;;226185,,5324,,3725
P07639	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P07650	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P07784	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P07789	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P08065	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P08066	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P08164	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P08178	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P08192	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P08200	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P08312	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P08400	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P08506	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P08821	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P08838	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P08839	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P08874	224308,,<a href='http://mvp.medgenius.info/interactions/phagecluster/2442/microbe/224308'>3596</a>,,2442;;224308,,<a href='http://mvp.medgenius.info/interactions/phagecluster/1733/microbe/224308'>2653</a>,,1733;;224308,,<a href='http://mvp.medgenius.info/interactions/phagecluster/407/microbe/224308'>378</a>,,407
P08877	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P08997	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P09030	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P09120	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
P09124	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P09152	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P09169	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P09190	
P09193	
P09323	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P09339	224308,,3596,,2442;;224308,,2653,,1733;;224308,,378,,407
P09373	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P09384	99287,,14089,,12955;;99287,,12808,,11375;;99287,,4371,,3111;;99287,,4058,,2841;;99287,,3104,,2096;;99287,,2023,,1300;;99287,,1373,,856
P09546	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P09819	
P09835	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P09924	
P0A0D6	1280,,26400,,364;;1280,,26398,,5601;;1280,,26397,,5864;;1280,,26396,,6084;;1280,,26395,,4809;;1280,,26390,,451;;1280,,26389,,4823;;1280,,26388,,6256;;1280,,26387,,393;;1280,,26386,,366
P0A0E0	1280,,26400,,364;;1280,,26398,,5601;;1280,,26397,,5864;;1280,,26396,,6084;;1280,,26395,,4809;;1280,,26390,,451;;1280,,26389,,4823;;1280,,26388,,6256;;1280,,26387,,393;;1280,,26386,,366
P0A0E3	1280,,26400,,364;;1280,,26398,,5601;;1280,,26397,,5864;;1280,,26396,,6084;;1280,,26395,,4809;;1280,,26390,,451;;1280,,26389,,4823;;1280,,26388,,6256;;1280,,26387,,393;;1280,,26386,,366
P0A0Q7	
P0A252	90370,,26332,,8752;;90370,,26331,,266;;90370,,20600,,25370;;90370,,19735,,23730;;90370,,12524,,10999;;90370,,6295,,4550;;90370,,4729,,3381;;90370,,3789,,2568
P0A2D5	99287,,14089,,12955;;99287,,12808,,11375;;99287,,4371,,3111;;99287,,4058,,2841;;99287,,3104,,2096;;99287,,2023,,1300;;99287,,1373,,856
P0A2D9	99287,,14089,,12955;;99287,,12808,,11375;;99287,,4371,,3111;;99287,,4058,,2841;;99287,,3104,,2096;;99287,,2023,,1300;;99287,,1373,,856
P0A2W5	
P0A2Z0	272623,,25156,,23886;;272623,,25155,,23534;;272623,,25146,,14375;;272623,,21019,,26431;;272623,,18115,,20063;;272623,,18052,,19948;;272623,,13415,,12191;;272623,,8129,,6091;;272623,,3280,,2185;;272623,,1367,,852
P0A345	100226,,26411,,3393;;100226,,26409,,3231
P0A3B4	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
P0A3E6	169963,,7474,,5451;;169963,,4649,,3318
P0A3F4	1140,,4467,,3175
P0A3H5	100226,,26411,,3393;;100226,,26409,,3231
P0A435	199310,,7552,,5526;;199310,,4581,,3262;;199310,,901,,663
P0A438	169963,,7474,,5451;;169963,,4649,,3318
P0A439	272626,,10443,,8679;;272626,,10139,,8272;;272626,,9717,,7760;;272626,,9499,,7543;;272626,,4526,,3213;;272626,,2119,,1316
P0A485	169963,,7474,,5451;;169963,,4649,,3318
P0A491	169963,,7474,,5451;;169963,,4649,,3318
P0A4D1	83334,,26602,,203;;83334,,25964,,536;;83334,,25963,,379;;83334,,25960,,273;;83334,,25935,,11435;;83334,,25932,,5788;;83334,,25609,,198;;83334,,24984,,8328;;83334,,24976,,2518;;83334,,24975,,737
P0A4D2	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
P0A4P8	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
P0A4Q8	169963,,7474,,5451;;169963,,4649,,3318
P0A4S0	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
P0A5B8	
P0A5C0	
P0A5S5	
P0A6A3	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P0A6A5	83334,,26602,,203;;83334,,25964,,536;;83334,,25963,,379;;83334,,25960,,273;;83334,,25935,,11435;;83334,,25932,,5788;;83334,,25609,,198;;83334,,24984,,8328;;83334,,24976,,2518;;83334,,24975,,737
P0A6A8	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P0A6B0	83334,,26602,,203;;83334,,25964,,536;;83334,,25963,,379;;83334,,25960,,273;;83334,,25935,,11435;;83334,,25932,,5788;;83334,,25609,,198;;83334,,24984,,8328;;83334,,24976,,2518;;83334,,24975,,737
P0A6B7	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P0A6D7	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P0A6E4	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P0A6F3	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P0A6F4	83334,,26602,,203;;83334,,25964,,536;;83334,,25963,,379;;83334,,25960,,273;;83334,,25935,,11435;;83334,,25932,,5788;;83334,,25609,,198;;83334,,24984,,8328;;83334,,24976,,2518;;83334,,24975,,737
P0A6F5	83333,,25959,,9792;;83333,,19977,,24233;;83333,,19838,,23946;;83333,,19726,,23711;;83333,,18855,,21763;;83333,,18084,,20002;;83333,,15415,,15108;;83333,,15412,,15107;;83333,,14890,,14172;;83333,,13298,,12010
P0A6F7	83334,,26602,,203;;83334,,25964,,536;;83334,,25963,,379;;83334,,25960,,273;;83334,,25935,,11435;;83334,,25932,,5788;;83334,,25609,,198;;83334,,24984,,8328;;83334,,24976,,2518;;83334,,24975,,737
