Protein	Description,,Higher order taxa
A0A0E0UEH3	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UET8	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UEW7	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UEX4	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UFF6	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UFH5	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UFJ1	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UFL2	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UG10	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UG46	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UGD4	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UGI2	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UGL8	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UH56	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UHM0	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UHQ8	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UHT8	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UHU9	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UHV7	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UI25	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UI36	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UIH3	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UII0	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UIQ4	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UJ54	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UJ98	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UJC1	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UKM9	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UKN7	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UKP1	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UKY1	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UL81	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0ULB5	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0ULH8	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UN93	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
