Protein	Description,,Higher order taxa
A1KGB4	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KGE8	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KGF0	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KGG3	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KGG5	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KGI6	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KGI8	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KGJ6	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KGL4	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KGY5	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KH33	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KH91	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KHA2	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KHE8	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KHE9	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KHL8	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KHN9	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KHS4	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KI95	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KI97	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KIM7	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KIN7	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KIS1	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KJ01	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KJ27	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KJD0	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KJN3	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KJP9	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KJR2	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KJR4	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KJX3	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KKE0	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KKH3	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KKJ6	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KKJ8	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KKK8	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KKK9	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KKQ5	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KL43	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KLE1	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KLF8	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KLQ3	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KLT2	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KLV6	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KMC6	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KMI1	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KMI2	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KML3	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KML5	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KMM4	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KMQ3	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KMU5	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KMW6	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KNQ0	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KP49	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KP65	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KPA9	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KPC8	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KPE4	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KPE8	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KPR8	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KPS2	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KQF8	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KQG0	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A1KQH3	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A2RN46	N/A,,N/A
A2T9S8	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A3M1G4	Acinetobacter,,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae
A3M8K2	Acinetobacter,,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae
A4F5N2	N/A,,N/A
A4F5N9	N/A,,N/A
A4F5R2	N/A,,N/A
A4F5S3	N/A,,N/A
A4F5S9	N/A,,N/A
A4F5W8	N/A,,N/A
A4F5Z4	N/A,,N/A
A4F627	N/A,,N/A
A4F672	N/A,,N/A
A4F673	N/A,,N/A
A4F696	N/A,,N/A
A4F6D0	N/A,,N/A
A4F6H7	N/A,,N/A
A4F6I7	N/A,,N/A
A4F6L2	N/A,,N/A
A4F6R6	N/A,,N/A
A4F6T8	N/A,,N/A
A4F6U4	N/A,,N/A
A4F6X7	N/A,,N/A
A4F6Y5	N/A,,N/A
A4F709	N/A,,N/A
A4F741	N/A,,N/A
A4F749	N/A,,N/A
A4F761	N/A,,N/A
A4F779	N/A,,N/A
A4F7E0	N/A,,N/A
A4F7G2	N/A,,N/A
A4F7J1	N/A,,N/A
A4F7L1	N/A,,N/A
A4F7L3	N/A,,N/A
A4F7T4	N/A,,N/A
A4F7U1	N/A,,N/A
A4F7V1	N/A,,N/A
A4F7Y7	N/A,,N/A
A4F7Z3	N/A,,N/A
A4F812	N/A,,N/A
A4F831	N/A,,N/A
A4F834	N/A,,N/A
A4F864	N/A,,N/A
A4F866	N/A,,N/A
A4F8H9	N/A,,N/A
A4F8K1	N/A,,N/A
A4F8L7	N/A,,N/A
A4F8M0	N/A,,N/A
A4F8N5	N/A,,N/A
A4F8P2	N/A,,N/A
A4F8P6	N/A,,N/A
A4F8Q6	N/A,,N/A
A4F8R2	N/A,,N/A
A4F8W1	N/A,,N/A
A4F8X2	N/A,,N/A
A4F9A1	N/A,,N/A
A4F9C2	N/A,,N/A
A4F9D0	N/A,,N/A
A4F9K3	N/A,,N/A
A4F9L3	N/A,,N/A
A4F9N4	N/A,,N/A
A4F9P6	N/A,,N/A
A4F9S0	N/A,,N/A
A4F9S9	N/A,,N/A
A4F9T1	N/A,,N/A
A4F9U5	N/A,,N/A
A4F9X1	N/A,,N/A
A4FA57	N/A,,N/A
A4FA64	N/A,,N/A
A4FA98	N/A,,N/A
A4FAC4	N/A,,N/A
A4FAD7	N/A,,N/A
A4FAF3	N/A,,N/A
A4FAH9	N/A,,N/A
A4FAK3	N/A,,N/A
A4FAK6	N/A,,N/A
A4FAP2	N/A,,N/A
A4FAP3	N/A,,N/A
A4FAT2	N/A,,N/A
A4FB27	N/A,,N/A
A4FBB3	N/A,,N/A
A4FBC4	N/A,,N/A
A4FBD3	N/A,,N/A
A4FBI4	N/A,,N/A
A4FBP1	N/A,,N/A
A4FBQ8	N/A,,N/A
A4FBR0	N/A,,N/A
A4FBX6	N/A,,N/A
A4FBY4	N/A,,N/A
A4FC08	N/A,,N/A
A4FC51	N/A,,N/A
A4FCQ4	N/A,,N/A
A4FCW1	N/A,,N/A
A4FD29	N/A,,N/A
A4FDM8	N/A,,N/A
A4FDV0	N/A,,N/A
A4FDV3	N/A,,N/A
A4FDX2	N/A,,N/A
A4FE67	N/A,,N/A
A4FEJ5	N/A,,N/A
A4FER8	N/A,,N/A
A4FES9	N/A,,N/A
A4FET2	N/A,,N/A
A4FEW8	N/A,,N/A
A4FF50	N/A,,N/A
A4FF68	N/A,,N/A
A4FF97	N/A,,N/A
A4FFD6	N/A,,N/A
A4FFJ7	N/A,,N/A
A4FFV0	N/A,,N/A
A4FG56	N/A,,N/A
A4FG72	N/A,,N/A
A4FGD8	N/A,,N/A
A4FGG8	N/A,,N/A
A4FGJ5	N/A,,N/A
A4FGJ7	N/A,,N/A
A4FH07	N/A,,N/A
A4FH16	N/A,,N/A
A4FH84	N/A,,N/A
A4FHF0	N/A,,N/A
A4FHI1	N/A,,N/A
A4FHN5	N/A,,N/A
A4FHR3	N/A,,N/A
A4FHU9	N/A,,N/A
A4FIF5	N/A,,N/A
A4FIQ4	N/A,,N/A
A4FIR1	N/A,,N/A
A4FJJ5	N/A,,N/A
A4FJU5	N/A,,N/A
A4FK75	N/A,,N/A
A4FKG8	N/A,,N/A
A4FKH5	N/A,,N/A
A4FKK6	N/A,,N/A
A4FKK9	N/A,,N/A
A4FKM7	N/A,,N/A
A4FKN3	N/A,,N/A
A4FKU9	N/A,,N/A
A4FKW8	N/A,,N/A
A4FKX2	N/A,,N/A
A4FKX6	N/A,,N/A
A4FL79	N/A,,N/A
A4FLD8	N/A,,N/A
A4FLI8	N/A,,N/A
A4FLP4	N/A,,N/A
A4FLT1	N/A,,N/A
A4FLT9	N/A,,N/A
A4FLU1	N/A,,N/A
A4FLU4	N/A,,N/A
A4FM34	N/A,,N/A
A4FM62	N/A,,N/A
A4FMD6	N/A,,N/A
A4FME7	N/A,,N/A
A4FMF1	N/A,,N/A
A4FMJ9	N/A,,N/A
A4FML6	N/A,,N/A
A4FMN8	N/A,,N/A
A4FMQ3	N/A,,N/A
A4FMQ5	N/A,,N/A
A4FMR9	N/A,,N/A
A4FMU4	N/A,,N/A
A4FMU5	N/A,,N/A
A4FMY9	N/A,,N/A
A4FN01	N/A,,N/A
A4FN27	N/A,,N/A
A4FN29	N/A,,N/A
A4FN31	N/A,,N/A
A4FN42	N/A,,N/A
A4FN70	N/A,,N/A
A4FN85	N/A,,N/A
A4FNA3	N/A,,N/A
A4FNB7	N/A,,N/A
A4FND0	N/A,,N/A
A4FNH5	N/A,,N/A
A4FNI7	N/A,,N/A
A4FNJ6	N/A,,N/A
A4FNK4	N/A,,N/A
A4FNL5	N/A,,N/A
A4FNN8	N/A,,N/A
A4FNQ9	N/A,,N/A
A4FNX4	N/A,,N/A
A4FP30	N/A,,N/A
A4FP45	N/A,,N/A
A4FP58	N/A,,N/A
A4FP59	N/A,,N/A
A4FP81	N/A,,N/A
A4FP82	N/A,,N/A
A4FP99	N/A,,N/A
A4FPA4	N/A,,N/A
A4FPA5	N/A,,N/A
A4FPA6	N/A,,N/A
A4FPC7	N/A,,N/A
A4FPD9	N/A,,N/A
A4FPI2	N/A,,N/A
A4FPJ2	N/A,,N/A
A4FPL9	N/A,,N/A
A4FPM0	N/A,,N/A
A4FPM6	N/A,,N/A
A4FPM7	N/A,,N/A
A4FPQ5	N/A,,N/A
A4FPS4	N/A,,N/A
A4FPS6	N/A,,N/A
A4FPT8	N/A,,N/A
A4FPT9	N/A,,N/A
A4FPW7	N/A,,N/A
A4FPX2	N/A,,N/A
A4FPY3	N/A,,N/A
A4FQ00	N/A,,N/A
A4FQ07	N/A,,N/A
A4FQ59	N/A,,N/A
A4FQ74	N/A,,N/A
A4FQE0	N/A,,N/A
A4FQE1	N/A,,N/A
A4FQF3	N/A,,N/A
A4FQL5	N/A,,N/A
A4FQP3	N/A,,N/A
A4FQQ3	N/A,,N/A
A4FQV0	N/A,,N/A
A4FQV7	N/A,,N/A
A4FR03	N/A,,N/A
A4FR20	N/A,,N/A
A4FR32	N/A,,N/A
A4FR37	N/A,,N/A
A4FR43	N/A,,N/A
A4FR48	N/A,,N/A
A4FR54	N/A,,N/A
A4FR66	N/A,,N/A
A4GZC4	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A4VUK1	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A4VYN7	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A4VYQ9	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A4VZM2	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A4VZZ3	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A4W6D5	Enterobacter,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterbacteriaceae
A5A547	Synechococcus,,Bacteria; Cyanobacteria; Chroococcales; Synechococcus
A5A6E0	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A5A6E1	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A5F2R1	Vibrio,,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
A5F2S8	Vibrio,,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
A5F5X0	Vibrio,,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
A5F5Y7	Vibrio,,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
A5TY85	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A5U1J9	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A6QEJ9	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QEK0	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QES8	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QF82	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QFE3	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QFH3	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QG89	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QGC0	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QGJ4	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QGZ6	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QH73	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QHF1	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QHF8	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QHI6	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QHK1	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QHK8	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QHX1	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QIV7	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QIW4	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QJ77	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QJ80	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QJK3	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QJK4	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6QK93	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A6T6C0	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A6T751	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A6T8G6	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A6TDR7	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A6TEX7	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A6TGC6	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A6THD2	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A7FKP6	Yersinia,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A7HD43	N/A,,N/A
A7HD44	N/A,,N/A
A7K468	Vibrio,,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
A7K6K8	Vibrio,,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
A7MRY4	Vibrio,,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
A7MVC1	Vibrio,,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
A7MVC2	Vibrio,,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
A7N3Z3	Vibrio,,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
A7N6S2	Vibrio,,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
A7X5Y5	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A7X5Y6	Staphylococcus,,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
A7Z0L6	Bacillus,,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
A7Z0N4	Bacillus,,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
A7Z0R1	Bacillus,,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
A7Z4N7	Bacillus,,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
A7Z4S1	Bacillus,,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
