Protein	Accession	Accession.id
Q83PE8	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83PF4	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83PG1	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83PG4	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83PJ7	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83PP2	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83PR3	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83PV3	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83PY5	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83PY6	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83PY9	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83Q07	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83Q14	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QA2	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QD0	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QD5	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QD9	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QE0	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QK4	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QL1	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QN4	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QN9	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QQ5	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QQ8	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QR1	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QR3	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QS6	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QT8	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QV0	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83QZ5	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83R04	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83R64	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83R90	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83RC0	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83RE8	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83RG1	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83RJ4	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83RN5	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83RP1	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83RP2	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
